Afisare Sold Cont Client,2021-05-05 12:32:25
Afisare Date Despre Client,2021-05-05 12:32:39
Depozitare Suma In Cont Client,2021-05-05 12:32:53
Afisare Sold Cont Client,2021-05-05 12:32:58
Afisare Date Despre Client,2021-05-05 12:33:07
Afisare Tranzactii a Unui Client,2021-05-05 12:33:14
Creare Tranzactie Noua,2021-05-05 12:34:06
Afisare Sold Cont Client,2021-05-05 12:34:15
Afisare Date Despre Client,2021-05-05 12:34:42
Inchidere Cont a Unui Client,2021-05-05 12:34:51
Afisare Sold Cont Client,2021-05-05 12:34:54
Afisare Date Despre Client,2021-05-05 12:35:08
Creare Client Nou,2021-05-05 12:35:55
Creare Cont Normal Pentru Client,2021-05-05 12:36:10
Creare Cont Normal Pentru Client,2021-05-05 12:36:19
Creare Card Pentru Client,2021-05-05 12:36:53
Creare Cont de Economii Pentru Client,2021-05-05 12:37:15
